City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Trairi,BR,2022-02-01 03:19:42,-3.2778,-39.2689,77.76,79,73,7.25
265,Ati,TD,2022-02-01 03:19:42,13.2154,18.3353,55.44,20,0,10.47
266,Mar Del Plata,AR,2022-02-01 03:19:11,-38.0023,-57.5575,63.88,59,0,1.99
267,San Policarpo,PH,2022-02-01 03:19:42,12.1791,125.5072,80.78,81,14,10.38
268,Loa Janan,ID,2022-02-01 03:19:43,-0.583,117.095,78.98,82,100,3.71
269,Williston,US,2022-02-01 03:15:19,48.147,-103.618,16.54,76,100,13.0
270,Eureka,US,2022-02-01 03:16:37,40.8021,-124.1637,48.25,81,40,7.0
271,Iqaluit,CA,2022-02-01 03:20:43,63.7506,-68.5145,-27.31,74,0,3.0
272,Katsuura,JP,2022-02-01 03:20:44,35.1333,140.3,46.51,47,91,7.45
273,Sucha Beskidzka,PL,2022-02-01 03:20:44,49.7419,19.5943,32.02,98,100,2.71
274,Daru,PG,2022-02-01 03:20:44,-9.0763,143.2092,77.79,88,100,10.47
275,Ashtabula,US,2022-02-01 03:20:45,41.7001,-80.7665,20.19,93,0,0.0
276,Inverness,GB,2022-02-01 03:20:45,57.4791,-4.224,51.22,77,40,8.01
277,Wanaka,NZ,2022-02-01 03:20:45,-44.7,169.15,79.11,35,100,4.0
278,Wajir,KE,2022-02-01 03:20:46,1.7471,40.0573,73.8,76,99,11.72
279,Kuching,MY,2022-02-01 03:20:46,1.55,110.3333,86.22,70,40,10.36
280,Mizdah,LY,2022-02-01 03:20:46,31.4451,12.9801,46.29,36,97,15.37
281,Portree,GB,2022-02-01 03:20:47,57.4129,-6.1942,48.52,85,100,22.84
282,Ketchikan,US,2022-02-01 03:20:47,55.3422,-131.6461,35.58,100,100,0.0
283,Vermillion,US,2022-02-01 03:20:47,42.7794,-96.9292,50.67,33,60,16.84
284,Seremban,MY,2022-02-01 03:20:48,2.7297,101.9381,87.35,77,98,2.24
285,Dondaicha,IN,2022-02-01 03:20:48,21.3333,74.5667,68.38,38,1,2.66
286,Margate,GB,2022-02-01 03:20:48,51.3813,1.3862,44.74,81,95,3.0
287,Faya,SA,2022-02-01 03:20:48,18.3851,42.4509,51.91,81,10,4.41
288,Hobyo,SO,2022-02-01 03:20:49,5.3505,48.5268,77.18,82,42,13.04
289,Belousovka,KZ,2022-02-01 03:20:49,50.1339,82.5239,-8.0,84,75,2.24
290,Portland,US,2022-02-01 03:19:24,45.5234,-122.6762,42.89,88,75,1.01
291,Comodoro Rivadavia,AR,2022-02-01 03:20:50,-45.8667,-67.5,67.86,34,47,35.68
292,Baruun-Urt,MN,2022-02-01 03:20:50,46.6806,113.2792,-2.4,82,23,8.1
